本文件用于物镜、工作距离、放大倍数统调
****请勿修改当文件前格式**************
**最大控制步数256步，请勿超出*********
本文件控制步：	27
Index**FL_ctrl**WD(0.1mm)**M_min******
1	395.98 	280	8.41
2	403.98 	270	8.69
3	407.98 	260	8.98
4	411.98 	250	9.26
5	419.98 	240	9.54
6	423.98 	230	9.83
7	427.98 	220	10.11
8	435.98 	210	10.67
9	443.98 	200	10.95
10	451.98 	190	11.52
11	459.98 	180	11.80
12	467.98 	170	12.36
13	475.98 	160	12.64
14	483.98 	150	13.21
15	491.98 	140	13.77
16	507.98 	130	14.34
17	523.98 	120	14.90
18	539.98 	110	16.03
19	555.98 	100	16.87
20	571.98 	 90	18.00
21	595.98 	 80	18.84
22	619.98 	 70	20.26
23	643.98 	 60	21.39
24	667.98 	 50	22.52
25	691.98 	 40	23.93
26	715.98 	 30	25.34
27	1023.98  20	26.74

